target,state,footprint_bsls,own_cable,own_fiber,pct_own_fiber,another_fiber_filer,pct_another_fiber,another_cable_filer,any_other_filer,pct_contested,pct_uncontested
Comcast (Xfinity),FL,3778763,3572491,207284,5.49,2366346,62.62,275849,2475456,65.51,34.49
Comcast (Xfinity),CA,3549079,3534834,14679,0.41,1586625,44.71,161978,1644240,46.33,53.67
Comcast (Xfinity),PA,3331822,3259113,73006,2.19,2312973,69.42,205095,2407911,72.27,27.73
Comcast (Xfinity),IL,2816572,2813622,3034,0.11,1160521,41.2,486010,1540158,54.68,45.32
Comcast (Xfinity),MI,2192437,2172396,20558,0.94,878056,40.05,619283,1226720,55.95,44.05
Comcast (Xfinity),GA,2059108,2017900,41630,2.02,1429011,69.4,148420,1498426,72.77,27.23
Comcast (Xfinity),TX,2056962,1954561,103222,5.02,1757071,85.42,216358,1778113,86.44,13.56
Comcast (Xfinity),WA,1720130,1714056,6416,0.37,704500,40.96,126537,768751,44.69,55.31
Comcast (Xfinity),MA,1627920,1622726,5982,0.37,925458,56.85,255387,986496,60.6,39.4
Comcast (Xfinity),MD,1615867,1567279,48665,3.01,1120682,69.35,177618,1151786,71.28,28.72
Comcast (Xfinity),NJ,1588897,1567334,21762,1.37,897483,56.48,98837,905113,56.96,43.04
Comcast (Xfinity),IN,1510015,1471114,39458,2.61,1005750,66.61,40300,1015559,67.25,32.75
Comcast (Xfinity),CO,1479527,1439937,39833,2.69,891395,60.25,28666,908261,61.39,38.61
Comcast (Xfinity),TN,1404960,1397058,8048,0.57,1067064,75.95,61852,1073171,76.38,23.62
Comcast (Xfinity),VA,1280928,1263412,17595,1.37,863137,67.38,38120,892700,69.69,30.31
Comcast (Xfinity),OR,789285,778988,10440,1.32,488522,61.89,24839,502653,63.68,36.32
Comcast (Xfinity),UT,769209,742957,26425,3.44,611289,79.47,15960,612311,79.6,20.4
Comcast (Xfinity),MN,765903,750944,15020,1.96,470487,61.43,11943,478195,62.44,37.56
Comcast (Xfinity),CT,687171,585548,101748,14.81,558058,81.21,160404,575220,83.71,16.29
Comcast (Xfinity),NM,475738,445551,30195,6.35,78793,16.56,27396,103062,21.66,78.34
Comcast (Xfinity),AL,397432,382514,14939,3.76,286590,72.11,134126,305689,76.92,23.08
Comcast (Xfinity),MS,362006,358440,3579,0.99,249309,68.87,72,249319,68.87,31.13
Comcast (Xfinity),NH,340980,335401,5823,1.71,229883,67.42,28455,249117,73.06,26.94
Comcast (Xfinity),DE,323349,315163,8211,2.54,189140,58.49,13279,195917,60.59,39.41
Comcast (Xfinity),SC,300108,285033,15090,5.03,173603,57.85,128675,234952,78.29,21.71
Comcast (Xfinity),WV,240346,227097,13311,5.54,107284,44.64,16212,115580,48.09,51.91
Comcast (Xfinity),LA,208490,204357,4133,1.98,105901,50.79,37989,126245,60.55,39.45
Comcast (Xfinity),AR,188068,183722,4351,2.31,133964,71.23,35633,139540,74.2,25.8
Comcast (Xfinity),VT,171306,170081,1245,0.73,109407,63.87,33,109413,63.87,36.13
Comcast (Xfinity),AZ,151530,149777,1756,1.16,16161,10.67,8101,23868,15.75,84.25
Comcast (Xfinity),MO,130673,125587,5091,3.9,107164,82.01,8136,109896,84.1,15.9
Comcast (Xfinity),DC,122619,122532,108,0.09,106537,86.88,88343,115911,94.53,5.47
Comcast (Xfinity),OH,87370,75026,12344,14.13,16985,19.44,8664,21959,25.13,74.87
Comcast (Xfinity),KY,87338,87038,359,0.41,53294,61.02,367,53303,61.03,38.97
Comcast (Xfinity),ME,56814,51413,5402,9.51,30860,54.32,12620,42685,75.13,24.87
Comcast (Xfinity),KS,52983,45376,7607,14.36,50471,95.26,9266,50809,95.9,4.1
Comcast (Xfinity),NY,32349,32349,0,0.0,20176,62.37,1101,20703,64.0,36.0
Comcast (Xfinity),WI,27752,27542,210,0.76,6319,22.77,12,6327,22.8,77.2
Comcast (Xfinity),ID,2364,409,1955,82.7,2,0.08,1060,1061,44.88,55.12
Comcast (Xfinity),NC,2278,2278,0,0.0,952,41.79,14,953,41.83,58.17
Comcast (Xfinity),RI,216,216,0,0.0,197,91.2,195,208,96.3,3.7
Charter (Spectrum),TX,4854843,4416916,488187,10.06,3435439,70.76,393419,3530451,72.72,27.28
Charter (Spectrum),CA,4714491,4694432,66054,1.4,2510196,53.24,46604,2530405,53.67,46.33
Charter (Spectrum),OH,3440371,3326509,131357,3.82,1906270,55.41,632708,2242813,65.19,34.81
Charter (Spectrum),NC,3415552,3112434,323313,9.47,2023853,59.25,74103,2070117,60.61,39.39
Charter (Spectrum),FL,3037790,2880716,175552,5.78,1979233,65.15,447995,2140117,70.45,29.55
Charter (Spectrum),NY,2747220,2691138,76096,2.77,1540241,56.07,70897,1555746,56.63,43.37
Charter (Spectrum),WI,1632903,1495061,148113,9.07,773890,47.39,362,774044,47.4,52.6
Charter (Spectrum),SC,1343107,1158156,193331,14.39,759110,56.52,89681,812477,60.49,39.51
Charter (Spectrum),MO,1193917,1117082,81603,6.83,839381,70.3,48136,846060,70.86,29.14
Charter (Spectrum),MI,1099006,1049821,53481,4.87,303602,27.63,97782,358655,32.63,67.37
Charter (Spectrum),KY,1034942,973272,66398,6.42,754064,72.86,9376,758140,73.25,26.75
Charter (Spectrum),AL,919328,855520,67163,7.31,534091,58.1,150619,596048,64.84,35.16
Charter (Spectrum),TN,840839,752249,92196,10.96,622473,74.03,30669,634956,75.51,24.49
Charter (Spectrum),GA,666191,606678,62857,9.44,382134,57.36,91248,425102,63.81,36.19
Charter (Spectrum),IN,552840,485348,69703,12.61,362672,65.6,40181,372919,67.46,32.54
Charter (Spectrum),ME,461880,447874,15941,3.45,277537,60.09,433,277786,60.14,39.86
