rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
1,Cable One (Sparklight),AT&T,AT&T (incl. Lumen consumer fiber),277094,12.153,19375357,1.43,277094,0
2,Cable One (Sparklight),Comcast (Xfinity),Comcast (Xfinity),114085,5.004,38786664,0.294,45774,68313
3,Cable One (Sparklight),Frontier,Verizon (incl. Frontier),105552,4.629,6545954,1.612,105552,0
4,Cable One (Sparklight),Lumen (Quantum Fiber / CenturyLink),AT&T (incl. Lumen consumer fiber),85065,3.731,3157729,2.694,85065,0
5,Cable One (Sparklight),"Dobson Technologies, Inc.","Dobson Technologies, Inc.",80159,3.516,196373,40.82,80159,0
6,Cable One (Sparklight),TDS Telecom,TDS Telecom,68623,3.01,1113559,6.162,68623,0
7,Cable One (Sparklight),Charter (Spectrum),Charter + Cox (Spectrum),61363,2.691,35944137,0.171,16102,46020
8,Cable One (Sparklight),Bluepeak,Bluepeak,58815,2.58,316917,18.558,58814,4
9,Cable One (Sparklight),Windstream/Uniti (Kinetic),Windstream/Uniti (Kinetic),58155,2.551,1526157,3.811,58155,0
10,Cable One (Sparklight),Midco,Midco,57135,2.506,650944,8.777,2061,55074
11,Cable One (Sparklight),Metronet (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),54666,2.398,2612682,2.092,54666,0
12,Cable One (Sparklight),"WEHCO Video, Inc.","WEHCO Video, Inc.",39535,1.734,172012,22.984,0,39535
13,Cable One (Sparklight),Brightspeed,Brightspeed,38971,1.709,1793486,2.173,38971,0
14,Cable One (Sparklight),"Telapex, Inc.","Telapex, Inc.",38886,1.706,381068,10.204,38886,0
15,Cable One (Sparklight),Astound Broadband,Astound Broadband,36224,1.589,2518837,1.438,2112,34463
16,Cable One (Sparklight),Optimum (Altice USA),Optimum (Altice USA),32524,1.426,5366001,0.606,0,32524
17,Cable One (Sparklight),"MCC Network Services, LLC","MCC Network Services, LLC",32158,1.41,121140,26.546,32158,0
18,Cable One (Sparklight),Coast Electric Power Association,Coast Electric Power Association,29968,1.314,65325,45.875,29968,0
19,Cable One (Sparklight),Cox,Charter + Cox (Spectrum),29821,1.308,7297869,0.409,10657,19180
20,Cable One (Sparklight),Singing River Electric Cooperative,Singing River Electric Cooperative,27172,1.192,53657,50.64,27172,0
