rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
1,Charter (Spectrum),AT&T,AT&T (incl. Lumen consumer fiber),8080483,22.481,19375357,41.705,8080483,0
2,Charter (Spectrum),Frontier,Verizon (incl. Frontier),3861869,10.744,6545954,58.996,3861869,0
3,Charter (Spectrum),Google Fiber,Google Fiber,1178036,3.277,1886259,62.454,1178036,0
4,Charter (Spectrum),Verizon (Fios),Verizon (incl. Frontier),993490,2.764,9364253,10.609,993490,0
5,Charter (Spectrum),altafiber (Cincinnati Bell),altafiber (Cincinnati Bell),894441,2.488,953589,93.797,894440,4
6,Charter (Spectrum),Metronet (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),836986,2.329,2612682,32.036,836986,0
7,Charter (Spectrum),Brightspeed,Brightspeed,795282,2.213,1793486,44.343,795282,0
8,Charter (Spectrum),WOW!,WOW!,635130,1.767,1733161,36.646,120118,515012
9,Charter (Spectrum),Breezeline (Cogeco),Breezeline (Cogeco),609584,1.696,1333175,45.724,40,609546
10,Charter (Spectrum),Windstream/Uniti (Kinetic),Windstream/Uniti (Kinetic),532084,1.48,1526157,34.864,509695,24038
11,Charter (Spectrum),TDS Telecom,TDS Telecom,484466,1.348,1113559,43.506,460700,28389
12,Charter (Spectrum),Lumos (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),455893,1.268,641150,71.106,455893,0
13,Charter (Spectrum),Comcast (Xfinity),Comcast (Xfinity),449654,1.251,38786664,1.159,33980,415782
14,Charter (Spectrum),Astound Broadband,Astound Broadband,413261,1.15,2518837,16.407,79685,339706
15,Charter (Spectrum),Consolidated (Fidium),Consolidated (Fidium),314293,0.874,1058652,29.688,314291,2
16,Charter (Spectrum),"Greenlight Networks, LLC","Greenlight Networks, LLC",244786,0.681,286873,85.329,244786,0
17,Charter (Spectrum),Allo Communications LLC,Allo Communications LLC,237448,0.661,436620,54.383,237448,0
18,Charter (Spectrum),"Everfast Fiber Networks, LLC","Everfast Fiber Networks, LLC",229866,0.64,290684,79.078,229866,125926
19,Charter (Spectrum),Lumen (Quantum Fiber / CenturyLink),AT&T (incl. Lumen consumer fiber),209515,0.583,3157729,6.635,209515,0
20,Charter (Spectrum),"Future Fiber FinCo, LLC","Future Fiber FinCo, LLC",183487,0.51,540181,33.968,183487,0
21,Charter (Spectrum),Ziply Fiber (Bell Canada),Ziply Fiber (Bell Canada),162364,0.452,763929,21.254,162364,0
22,Charter (Spectrum),"Omni Fiber, LLC","Omni Fiber, LLC",155938,0.434,207853,75.023,155938,0
23,Charter (Spectrum),"Ripple Fiber, LLC","Ripple Fiber, LLC",122979,0.342,206137,59.659,122979,0
24,Charter (Spectrum),Empire Telephone Corporation/North Penn Telephone Company,Empire Telephone Corporation/North Penn Telephone Company,111643,0.311,161013,69.338,111643,0
25,Charter (Spectrum),"Horry Telephone Cooperative, Inc.","Horry Telephone Cooperative, Inc.",108775,0.303,159187,68.332,102410,6377
26,Charter (Spectrum),Point Broadband,Point Broadband,101959,0.284,348159,29.285,101959,0
27,Charter (Spectrum),"WH i3B Bidco LLC/WH i3B Topco, LLC","WH i3B Bidco LLC/WH i3B Topco, LLC",97478,0.271,313876,31.056,97478,0
28,Charter (Spectrum),Wire 3 Holdings,Wire 3 Holdings,91623,0.255,119263,76.824,91623,0
29,Charter (Spectrum),"Generate-Ubiquity Holdings, LLC","Generate-Ubiquity Holdings, LLC",75834,0.211,179727,42.194,75834,0
30,Charter (Spectrum),Ting,Ting,69934,0.195,204263,34.237,69934,0
31,Charter (Spectrum),Tillman Global Holdings,Tillman Global Holdings,68795,0.191,85790,80.19,68795,0
32,Charter (Spectrum),"Telapex, Inc.","Telapex, Inc.",67334,0.187,381068,17.67,67334,2804
33,Charter (Spectrum),Optimum (Altice USA),Optimum (Altice USA),67055,0.187,5366001,1.25,18392,67055
34,Charter (Spectrum),Gateway Fiber Holdings LLC,Gateway Fiber Holdings LLC,66424,0.185,134105,49.531,66424,0
35,Charter (Spectrum),CDE Lightband,CDE Lightband,63249,0.176,68828,91.894,63249,0
36,Charter (Spectrum),Cable One (Sparklight),Cable One (Sparklight),61363,0.171,2280032,2.691,32052,33645
37,Charter (Spectrum),"Race Telecommunications, Inc.","Race Telecommunications, Inc.",60894,0.169,142205,42.821,60894,0
38,Charter (Spectrum),Atlantic Telephone Membership Corporation,Atlantic Telephone Membership Corporation,56206,0.156,131703,42.676,54683,1523
39,Charter (Spectrum),"CarolinaConnect Cooperative, Inc.","CarolinaConnect Cooperative, Inc.",55271,0.154,111725,49.471,55271,0
40,Charter (Spectrum),Bluepeak,Bluepeak,53409,0.149,316917,16.853,50332,4044
41,Charter (Spectrum),"Open Infra, Inc.","Open Infra, Inc.",50447,0.14,87397,57.722,50447,0
42,Charter (Spectrum),"Comporium, Inc.","Comporium, Inc.",49271,0.137,198803,24.784,39364,9907
43,Charter (Spectrum),"Conexon Connect, LLC","Conexon Connect, LLC",49065,0.137,415600,11.806,49065,0
44,Charter (Spectrum),"IsoFusion, Inc.","IsoFusion, Inc.",45805,0.127,86134,53.179,45805,0
45,Charter (Spectrum),Hunter Communications & Technologies LLC,Hunter Communications & Technologies LLC,45638,0.127,89041,51.255,45567,98
46,Charter (Spectrum),"Delta Communications, LLC","Delta Communications, LLC",44792,0.125,170364,26.292,44792,0
47,Charter (Spectrum),"JAB Wireless, Inc.","JAB Wireless, Inc.",42829,0.119,89596,47.802,42829,0
48,Charter (Spectrum),The Chillicothe Telephone Co,The Chillicothe Telephone Co,40675,0.113,42794,95.048,40675,0
49,Charter (Spectrum),Socket Telecom LLC,Socket Telecom LLC,39905,0.111,118266,33.742,39905,0
50,Charter (Spectrum),Yadkin Valley Telephone Membership Corporation,Yadkin Valley Telephone Membership Corporation,39460,0.11,53687,73.5,39460,0
51,Charter (Spectrum),"Guadalupe Valley Telephone Cooperative, Inc.","Guadalupe Valley Telephone Cooperative, Inc.",38712,0.108,81887,47.275,37830,4182
52,Charter (Spectrum),Douglas Electric Cooperative Inc.,Douglas Electric Cooperative Inc.,37148,0.103,56411,65.852,37148,0
53,Charter (Spectrum),"West Carolina Rural Telephone Cooperative, Inc.","West Carolina Rural Telephone Cooperative, Inc.",36408,0.101,102861,35.395,36408,0
54,Charter (Spectrum),"Ben Lomand Rural Telephone Coop., Inc.","Ben Lomand Rural Telephone Coop., Inc.",35686,0.099,65387,54.577,35686,0
55,Charter (Spectrum),Cox,Charter + Cox (Spectrum),35624,0.099,7297869,0.488,7330,28318
56,Charter (Spectrum),"Block Communications, Inc.","Block Communications, Inc.",35564,0.099,326208,10.902,21035,17044
57,Charter (Spectrum),"Farmers Telephone Cooperative, Inc. (SC)","Farmers Telephone Cooperative, Inc. (SC)",34454,0.096,66496,51.814,34454,0
58,Charter (Spectrum),"Atlas Connectivity, LLC","Atlas Connectivity, LLC",33748,0.094,57676,58.513,33748,0
59,Charter (Spectrum),"Cumberland Connect, LLC","Cumberland Connect, LLC",29122,0.081,93828,31.038,29122,0
60,Charter (Spectrum),"Clearnetworx, LLC","Clearnetworx, LLC",29101,0.081,42928,67.79,29099,2
61,Charter (Spectrum),"Joink, LLC","Joink, LLC",28292,0.079,48734,58.054,28292,0
62,Charter (Spectrum),"Visionary Communications, Inc.","Visionary Communications, Inc.",28033,0.078,49399,56.748,28033,0
63,Charter (Spectrum),Sonic,Sonic,28011,0.078,409147,6.846,28011,0
64,Charter (Spectrum),Jackson Energy Authority,Jackson Energy Authority,27974,0.078,31207,89.64,27974,0
65,Charter (Spectrum),Hotwire,Hotwire,27132,0.075,144179,18.818,27132,0
66,Charter (Spectrum),Foursight Communications LLC,Foursight Communications LLC,27027,0.075,44615,60.578,27027,0
67,Charter (Spectrum),"Flying Bull Internet, LLC","Flying Bull Internet, LLC",26742,0.074,26985,99.099,26742,0
