rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
1,Comcast (Xfinity),AT&T,AT&T (incl. Lumen consumer fiber),8153757,21.022,19375357,42.083,8153757,0
2,Comcast (Xfinity),Verizon (Fios),Verizon (incl. Frontier),5472547,14.109,9364253,58.441,5472547,0
3,Comcast (Xfinity),Lumen (Quantum Fiber / CenturyLink),AT&T (incl. Lumen consumer fiber),2012642,5.189,3157729,63.737,2012642,0
4,Comcast (Xfinity),Frontier,Verizon (incl. Frontier),1584226,4.084,6545954,24.202,1584226,0
5,Comcast (Xfinity),Astound Broadband,Astound Broadband,1456189,3.754,2518837,57.812,211459,1261233
6,Comcast (Xfinity),WOW!,WOW!,992716,2.559,1733161,57.278,26857,965859
7,Comcast (Xfinity),Metronet (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),768387,1.981,2612682,29.41,768387,0
8,Comcast (Xfinity),Consolidated (Fidium),Consolidated (Fidium),562813,1.451,1058652,53.163,562559,254
9,Comcast (Xfinity),Google Fiber,Google Fiber,513871,1.325,1886259,27.243,513871,0
10,Comcast (Xfinity),Ziply Fiber (Bell Canada),Ziply Fiber (Bell Canada),513133,1.323,763929,67.17,513133,0
11,Comcast (Xfinity),Charter (Spectrum),Charter + Cox (Spectrum),449654,1.159,35944137,1.251,54449,398852
12,Comcast (Xfinity),Sonic,Sonic,377463,0.973,409147,92.256,377463,0
13,Comcast (Xfinity),Brightspeed,Brightspeed,368412,0.95,1793486,20.542,368412,0
14,Comcast (Xfinity),"Ezee Fiber Texas, LLC","Ezee Fiber Texas, LLC",351432,0.906,373234,94.159,351432,0
15,Comcast (Xfinity),Optimum (Altice USA),Optimum (Altice USA),340126,0.877,5366001,6.339,177299,339997
16,Comcast (Xfinity),Breezeline (Cogeco),Breezeline (Cogeco),277434,0.715,1333175,20.81,59197,218675
17,Comcast (Xfinity),Shenandoah Telecommunications Company,Shenandoah Telecommunications Company,262816,0.678,530410,49.55,233111,29705
18,Comcast (Xfinity),"Future Fiber FinCo, LLC","Future Fiber FinCo, LLC",236739,0.61,540181,43.826,236719,20
19,Comcast (Xfinity),Windstream/Uniti (Kinetic),Windstream/Uniti (Kinetic),200184,0.516,1526157,13.117,193952,6811
20,Comcast (Xfinity),"WH i3B Bidco LLC/WH i3B Topco, LLC","WH i3B Bidco LLC/WH i3B Topco, LLC",185369,0.478,313876,59.058,185369,0
21,Comcast (Xfinity),Utah Telecommunication Open Infrastructure Agency,Utah Telecommunication Open Infrastructure Agency,175348,0.452,182973,95.833,175348,0
22,Comcast (Xfinity),TDS Telecom,TDS Telecom,168805,0.435,1113559,15.159,146884,26591
