rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
1,Cox,AT&T,AT&T (incl. Lumen consumer fiber),1560408,21.382,19375357,8.054,1560408,0
2,Cox,Verizon (Fios),Verizon (incl. Frontier),790569,10.833,9364253,8.442,790569,0
3,Cox,Lumen (Quantum Fiber / CenturyLink),AT&T (incl. Lumen consumer fiber),645899,8.851,3157729,20.455,645899,0
4,Cox,Wyyerd,Wyyerd,178477,2.446,184790,96.584,178477,0
5,Cox,Frontier,Verizon (incl. Frontier),149297,2.046,6545954,2.281,149297,0
6,Cox,Metronet (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),124677,1.708,2612682,4.772,124677,0
7,Cox,"IdeaTek Telcom, LLC","IdeaTek Telcom, LLC",109454,1.5,149656,73.137,109454,0
8,Cox,Google Fiber,Google Fiber,109258,1.497,1886259,5.792,109258,0
9,Cox,Lafayette City Parish Consolidated Government,Lafayette City Parish Consolidated Government,70868,0.971,89130,79.511,70868,0
10,Cox,Shenandoah Telecommunications Company,Shenandoah Telecommunications Company,69085,0.947,530410,13.025,69085,0
11,Cox,"Future Fiber FinCo, LLC","Future Fiber FinCo, LLC",65735,0.901,540181,12.169,65735,0
12,Cox,Windstream/Uniti (Kinetic),Windstream/Uniti (Kinetic),55338,0.758,1526157,3.626,55338,0
13,Cox,"Generate-Ubiquity Holdings, LLC","Generate-Ubiquity Holdings, LLC",54720,0.75,179727,30.446,54720,0
14,Cox,EATEL Corp.,EATEL Corp.,52822,0.724,91270,57.874,48807,4301
15,Cox,Lumos (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),51226,0.702,641150,7.99,51226,0
16,Cox,"LiveOak Fiber, LLC","LiveOak Fiber, LLC",50628,0.694,155654,32.526,50628,0
17,Cox,Oklahoma Electric Cooperative,Oklahoma Electric Cooperative,47088,0.645,95994,49.053,47088,0
18,Cox,AMG Technology Investment Group LLC,AMG Technology Investment Group LLC,46371,0.635,103541,44.785,46371,0
19,Cox,"Ozarks Electric Cooperative, Inc.","Ozarks Electric Cooperative, Inc.",45127,0.618,79072,57.071,45127,0
20,Cox,Breezeline (Cogeco),Breezeline (Cogeco),43092,0.59,1333175,3.232,0,43092
21,Cox,Allo Communications LLC,Allo Communications LLC,41942,0.575,436620,9.606,41942,0
22,Cox,"Schurz Communications, Inc.","Schurz Communications, Inc.",35781,0.49,127698,28.02,3026,35781
23,Cox,Charter (Spectrum),Charter + Cox (Spectrum),35624,0.488,35944137,0.099,2070,34069
24,Cox,Cable One (Sparklight),Cable One (Sparklight),29821,0.409,2280032,1.308,17423,29261
25,Cox,Brightspeed,Brightspeed,27622,0.378,1793486,1.54,27622,0
26,Cox,Mediacom,Mediacom,22910,0.314,2668787,0.858,1882,22644
27,Cox,American Broadband Holding Company,American Broadband Holding Company,20530,0.281,56888,36.088,20530,0
28,Cox,Arkansas Valley Electric Cooperative Corporation,Arkansas Valley Electric Cooperative Corporation,19609,0.269,56189,34.898,19609,0
29,Cox,"IQ Fiber Intermediate Holdings, LLC","IQ Fiber Intermediate Holdings, LLC",19176,0.263,145173,13.209,19176,0
30,Cox,"Cityside Networks, LLC","Cityside Networks, LLC",18934,0.259,27395,69.115,18934,0
31,Cox,"Dobson Technologies, Inc.","Dobson Technologies, Inc.",18409,0.252,196373,9.375,18409,0
32,Cox,"Pavlov Media, Inc.","Pavlov Media, Inc.",18029,0.247,114421,15.757,18029,0
33,Cox,Ritter,Ritter,17967,0.246,177817,10.104,17967,0
34,Cox,"WH i3B Bidco LLC/WH i3B Topco, LLC","WH i3B Bidco LLC/WH i3B Topco, LLC",15914,0.218,313876,5.07,0,15914
35,Cox,Rural Telephone Service Company,Rural Telephone Service Company,14123,0.194,55252,25.561,14123,0
36,Cox,"Twin Valley Management, Inc.","Twin Valley Management, Inc.",12929,0.177,32600,39.66,11915,1014
37,Cox,Craw-Kan Telephone Cooperative Inc.,Craw-Kan Telephone Cooperative Inc.,11000,0.151,32649,33.692,11000,0
38,Cox,BAM Broadband OpCo LLC,BAM Broadband OpCo LLC,10669,0.146,60141,17.74,10669,0
39,Cox,"Conexon Connect, LLC","Conexon Connect, LLC",10022,0.137,415600,2.411,10022,0
40,Cox,"Wamego Telephone Company, Inc.","Wamego Telephone Company, Inc.",9704,0.133,19256,50.395,9704,0
41,Cox,Bluepeak,Bluepeak,9655,0.132,316917,3.047,9655,0
42,Cox,Wire 3 Holdings,Wire 3 Holdings,9459,0.13,119263,7.931,9459,0
43,Cox,Bixby Telephone Company,Bixby Telephone Company,8845,0.121,10511,84.15,8845,0
44,Cox,Comcast (Xfinity),Comcast (Xfinity),8812,0.121,38786664,0.023,155,8657
45,Cox,"Delta Communications, LLC","Delta Communications, LLC",8537,0.117,170364,5.011,8537,0
46,Cox,"Great Plains Communications, Inc.","Great Plains Communications, Inc.",8472,0.116,77515,10.929,8472,0
47,Cox,"D D & B, Inc.","D D & B, Inc.",7698,0.105,8870,86.787,7698,0
48,Cox,Ting,Ting,7425,0.102,204263,3.635,7425,0
49,Cox,Vyve Broadband,Vyve Broadband,7186,0.098,560197,1.283,1452,5734
50,Cox,Boston Omaha Corporation,Boston Omaha Corporation,6930,0.095,25690,26.975,6930,0
51,Cox,"The Butler Rural Electric Cooperative Association, Inc.","The Butler Rural Electric Cooperative Association, Inc.",5659,0.078,10309,54.894,5659,0
52,Cox,"WEHCO Video, Inc.","WEHCO Video, Inc.",5207,0.071,172012,3.027,0,5207
53,Cox,"PGB Fiber, LLC","PGB Fiber, LLC",4517,0.062,5320,84.906,4517,0
54,Cox,Mutual Telephone Company (KS),Mutual Telephone Company (KS),4413,0.06,5967,73.957,4413,0
55,Cox,JMZ Corporation,JMZ Corporation,3864,0.053,34925,11.064,3864,0
56,Cox,LICT Corporation,LICT Corporation,3793,0.052,73489,5.161,3793,0
57,Cox,Astound Broadband,Astound Broadband,3396,0.047,2518837,0.135,322,3074
58,Cox,"Back 2 Roots, LLC","Back 2 Roots, LLC",3233,0.044,3772,85.71,0,3233
59,Cox,Lake Region Technology & Communications LLC,Lake Region Technology & Communications LLC,2996,0.041,26072,11.491,2996,0
60,Cox,"Kaplan Telephone Company, Inc.","Kaplan Telephone Company, Inc.",2874,0.039,4787,60.038,2874,0
61,Cox,Tri-County Electric Membership Corporation,Tri-County Electric Membership Corporation,2748,0.038,31959,8.599,2748,0
62,Cox,"Public Service Communications, Inc.","Public Service Communications, Inc.",2697,0.037,20887,12.912,2292,622
63,Cox,"City of El Reno, Oklahoma","City of El Reno, Oklahoma",2247,0.031,2375,94.611,2247,0
64,Cox,East Central Oklahoma Electric Cooperative,East Central Oklahoma Electric Cooperative,2147,0.029,35509,6.046,2147,0
65,Cox,"Golden Belt Telephone Association, Inc","Golden Belt Telephone Association, Inc",1927,0.026,12773,15.087,1927,0
66,Cox,"Zito West Holding, LLC","Zito West Holding, LLC",1395,0.019,265591,0.525,317,1200
67,Cox,"KanOkla Telephone Association, Inc.","KanOkla Telephone Association, Inc.",1353,0.019,8066,16.774,1353,0
68,Cox,City of Valparaiso,City of Valparaiso,1348,0.018,1449,93.03,0,1348
69,Cox,Optimum (Altice USA),Optimum (Altice USA),1306,0.018,5366001,0.024,840,807
70,Cox,"Cajun Broadband, Inc.","Cajun Broadband, Inc.",1257,0.017,5465,23.001,1257,0
71,Cox,Breda Telephone Corp.,Breda Telephone Corp.,1237,0.017,21655,5.712,1237,0
72,Cox,"NBVDS Investment, LLC","NBVDS Investment, LLC",1079,0.015,15297,7.054,1079,0
73,Cox,Central Rural Electric Cooperative,Central Rural Electric Cooperative,1046,0.014,24948,4.193,1046,0
74,Cox,Delcambre Telephone Co.,Delcambre Telephone Co.,1001,0.014,1745,57.364,1001,0
75,Cox,H&B Enterprises Inc.,H&B Enterprises Inc.,971,0.013,4889,19.861,971,0
76,Cox,Pioneer Telephone Cooperative (OK),Pioneer Telephone Cooperative (OK),847,0.012,66019,1.283,847,0
77,Cox,"Osage, LLC","Osage, LLC",681,0.009,917,74.264,681,0
78,Cox,TDS Telecom,TDS Telecom,653,0.009,1113559,0.059,653,0
79,Cox,Direct Management Company,Direct Management Company,630,0.009,37407,1.684,630,0
80,Cox,Wilkes Telephone Membership Corporation,Wilkes Telephone Membership Corporation,432,0.006,61212,0.706,432,0
81,Cox,AirLink Internet Services,AirLink Internet Services,413,0.006,1792,23.047,413,0
82,Cox,"Grid Southwest, LLC","Grid Southwest, LLC",392,0.005,411,95.377,392,0
83,Cox,"South Central Telephone Association, Inc.","South Central Telephone Association, Inc.",355,0.005,8175,4.343,355,0
84,Cox,"Blue Valley Tele-Communications, Inc.","Blue Valley Tele-Communications, Inc.",284,0.004,9570,2.968,284,0
85,Cox,"Northeast Rural Services, Inc.","Northeast Rural Services, Inc.",249,0.003,31352,0.794,249,0
86,Cox,Cookson Hills Electric Cooperative,Cookson Hills Electric Cooperative,222,0.003,18708,1.187,222,0
87,Cox,Hotwire,Hotwire,215,0.003,144179,0.149,215,0
88,Cox,"Home Enterprises, Inc.","Home Enterprises, Inc.",214,0.003,4154,5.152,214,0
89,Cox,Consolidated (Fidium),Consolidated (Fidium),154,0.002,1058652,0.015,154,0
90,Cox,"Allen's TV Cable Service, Inc.","Allen's TV Cable Service, Inc.",151,0.002,23929,0.631,151,8
91,Cox,City of Ocala,City of Ocala,149,0.002,178,83.708,149,0
92,Cox,"Telapex, Inc.","Telapex, Inc.",147,0.002,381068,0.039,147,0
93,Cox,City of Coffeyville,City of Coffeyville,134,0.002,284,47.183,134,0
94,Cox,ZiTEL LLC,ZiTEL LLC,124,0.002,23074,0.537,124,0
95,Cox,"Totah Communications, Inc.","Totah Communications, Inc.",102,0.001,2891,3.528,102,0
96,Cox,Gonthier Inc.,Gonthier Inc.,99,0.001,4374,2.263,99,0
97,Cox,"Race Telecommunications, Inc.","Race Telecommunications, Inc.",63,0.001,142205,0.044,63,0
98,Cox,"Fiber by Central Florida, LLC","Fiber by Central Florida, LLC",39,0.001,34851,0.112,39,0
99,Cox,Velofi LLC,Velofi LLC,37,0.001,423,8.747,37,0
100,Cox,Golden Rain Foundation,Golden Rain Foundation,36,0.0,2990,1.204,0,36
101,Cox,"Orion CableSystems, Inc.","Orion CableSystems, Inc.",29,0.0,2439,1.189,0,29
102,Cox,PCs for People,PCs for People,23,0.0,174,13.218,0,23
103,Cox,Citizens Telephone Cooperative (VA),Citizens Telephone Cooperative (VA),18,0.0,14074,0.128,18,0
104,Cox,"United Telephone Association, Inc.","United Telephone Association, Inc.",18,0.0,7615,0.236,18,0
105,Cox,Alpine Connective LLC,Alpine Connective LLC,12,0.0,28,42.857,12,0
106,Cox,Point Broadband,Point Broadband,11,0.0,348159,0.003,11,0
107,Cox,"Block Communications, Inc.","Block Communications, Inc.",10,0.0,326208,0.003,0,10
108,Cox,"Skywave Wireless, Inc.","Skywave Wireless, Inc.",9,0.0,4143,0.217,9,0
109,Cox,Sonic,Sonic,9,0.0,409147,0.002,9,0
110,Cox,Wecom LLC,Wecom LLC,7,0.0,19138,0.037,7,0
111,Cox,Saddleback Communications Inc.,Saddleback Communications Inc.,6,0.0,1635,0.367,6,0
112,Cox,"Broadband MDU Holdings, LLC","Broadband MDU Holdings, LLC",5,0.0,345,1.449,5,0
113,Cox,"Golden Wheat, Inc.","Golden Wheat, Inc.",5,0.0,3395,0.147,5,0
114,Cox,McDonald County Telephone Company,McDonald County Telephone Company,4,0.0,3582,0.112,4,0
115,Cox,Oak Run Associates Ltd.,Oak Run Associates Ltd.,4,0.0,4458,0.09,0,4
116,Cox,"Consolidated Smart Broadband Systems, LLC","Consolidated Smart Broadband Systems, LLC",4,0.0,83,4.819,4,0
117,Cox,Columbus Telephone Company,Columbus Telephone Company,2,0.0,5737,0.035,2,0
118,Cox,"IsoFusion, Inc.","IsoFusion, Inc.",1,0.0,86134,0.001,1,0
119,Cox,"NATCO Communications, Inc.","NATCO Communications, Inc.",1,0.0,5573,0.018,1,0
120,Cox,"LaHarpe Telephone Company, Inc. (KS)","LaHarpe Telephone Company, Inc. (KS)",1,0.0,405,0.247,1,0
121,Cox,Aureon Network Services Inc.,Aureon Network Services Inc.,1,0.0,26,3.846,0,1
