rank,target,operator_as_filed,current_parent,overlap_bsls,pct_of_target_footprint,their_total_footprint_bsls,pct_of_their_footprint,overlap_their_fiber_bsls,overlap_their_cable_bsls
1,Optimum (Altice USA),Verizon (Fios),Verizon (incl. Frontier),1838739,34.266,9364253,19.636,1838739,0
2,Optimum (Altice USA),AT&T,AT&T (incl. Lumen consumer fiber),549035,10.232,19375357,2.834,549035,0
3,Optimum (Altice USA),Frontier,Verizon (incl. Frontier),414753,7.729,6545954,6.336,414753,0
4,Optimum (Altice USA),Metronet (T-Mobile JV),T-Mobile Fiber (Metronet + Lumos),385663,7.187,2612682,14.761,385663,0
5,Optimum (Altice USA),Comcast (Xfinity),Comcast (Xfinity),340126,6.339,38786664,0.877,172331,167971
6,Optimum (Altice USA),Brightspeed,Brightspeed,159031,2.964,1793486,8.867,159031,0
7,Optimum (Altice USA),Tachus LLC,Tachus LLC,93835,1.749,178878,52.458,93835,0
8,Optimum (Altice USA),Charter (Spectrum),Charter + Cox (Spectrum),67055,1.25,35944137,0.187,30985,37611
9,Optimum (Altice USA),Allo Communications LLC,Allo Communications LLC,53152,0.991,436620,12.174,53152,0
10,Optimum (Altice USA),Consolidated (Fidium),Consolidated (Fidium),52593,0.98,1058652,4.968,52593,0
11,Optimum (Altice USA),"Dobson Technologies, Inc.","Dobson Technologies, Inc.",47898,0.893,196373,24.391,47898,0
12,Optimum (Altice USA),Bluepeak,Bluepeak,47605,0.887,316917,15.021,47599,28
13,Optimum (Altice USA),Ritter,Ritter,47425,0.884,177817,26.671,45302,2163
14,Optimum (Altice USA),"Future Fiber FinCo, LLC","Future Fiber FinCo, LLC",44291,0.825,540181,8.199,44291,0
15,Optimum (Altice USA),"Planet Networks, Inc.","Planet Networks, Inc.",39983,0.745,52084,76.766,39983,0
16,Optimum (Altice USA),Windstream/Uniti (Kinetic),Windstream/Uniti (Kinetic),39555,0.737,1526157,2.592,39555,0
17,Optimum (Altice USA),Astound Broadband,Astound Broadband,36150,0.674,2518837,1.435,3371,33069
18,Optimum (Altice USA),Cable One (Sparklight),Cable One (Sparklight),32524,0.606,2280032,1.426,31732,793
19,Optimum (Altice USA),"United Electric Cooperative, Inc.","United Electric Cooperative, Inc.",31759,0.592,81763,38.843,31759,0
20,Optimum (Altice USA),First Electric Cooperative Corporation,First Electric Cooperative Corporation,26788,0.499,82726,32.382,26788,0
