target,state,operator,overlap_bsls,target_bsls_in_state,pct_of_target_in_state
Comcast (Xfinity),AL,AT&T,221019,397432,55.612
Comcast (Xfinity),AL,WOW!,104815,397432,26.373
Comcast (Xfinity),AL,Google Fiber,67311,397432,16.936
Comcast (Xfinity),AL,Mediacom,33382,397432,8.399
Comcast (Xfinity),AL,Brightspeed,27836,397432,7.004
Comcast (Xfinity),AL,Charter (Spectrum),24605,397432,6.191
Comcast (Xfinity),AL,"Telapex, Inc.",24359,397432,6.129
Comcast (Xfinity),AL,"New Hope Telephone Cooperative, Inc. (AL)",3115,397432,0.784
Comcast (Xfinity),AL,"Future Fiber FinCo, LLC",2370,397432,0.596
Comcast (Xfinity),AL,Pea River Electric Cooperative,1639,397432,0.412
Comcast (Xfinity),AL,West Kentucky Rural Telephone Cooperative Corp. Inc.,1633,397432,0.411
Comcast (Xfinity),AL,Telephone Electronics Corporation,861,397432,0.217
Comcast (Xfinity),AL,Point Broadband,569,397432,0.143
Comcast (Xfinity),AL,Cable One (Sparklight),525,397432,0.132
Comcast (Xfinity),AL,EATEL Corp.,60,397432,0.015
Comcast (Xfinity),AL,Windstream/Uniti (Kinetic),52,397432,0.013
Comcast (Xfinity),AL,TDS Telecom,37,397432,0.009
Comcast (Xfinity),AL,"Farmers Telecommunications Cooperative, Inc.",12,397432,0.003
Comcast (Xfinity),AL,"Tombigbee Electric Cooperative, Inc.",5,397432,0.001
Comcast (Xfinity),AL,"Ragland Telephone Co., Inc.",3,397432,0.001
Comcast (Xfinity),AR,AT&T,104987,188068,55.824
Comcast (Xfinity),AR,Cable One (Sparklight),26856,188068,14.28
Comcast (Xfinity),AR,First Electric Cooperative Corporation,21271,188068,11.31
Comcast (Xfinity),AR,Optimum (Altice USA),10643,188068,5.659
Comcast (Xfinity),AR,Brightspeed,9661,188068,5.137
Comcast (Xfinity),AR,Ritter,8362,188068,4.446
Comcast (Xfinity),AR,"Ripple Fiber, LLC",5776,188068,3.071
Comcast (Xfinity),AR,"WEHCO Video, Inc.",865,188068,0.46
Comcast (Xfinity),AR,"Enlightened by Woodruff Electric, LLC",96,188068,0.051
Comcast (Xfinity),AR,CG Computer Works LLC,33,188068,0.018
Comcast (Xfinity),AR,Windstream/Uniti (Kinetic),24,188068,0.013
Comcast (Xfinity),AR,Craighead Elecric Cooperative Corporation,10,188068,0.005
Comcast (Xfinity),AR,"CableSouth Media III, LLC",8,188068,0.004
Comcast (Xfinity),AR,Petit Jean Electric Cooperative Corp.,1,188068,0.001
Comcast (Xfinity),AZ,Lumen (Quantum Fiber / CenturyLink),10622,151530,7.01
Comcast (Xfinity),AZ,Wyyerd,5445,151530,3.593
Comcast (Xfinity),AZ,"Schurz Communications, Inc.",5107,151530,3.37
Comcast (Xfinity),AZ,Cox,3091,151530,2.04
Comcast (Xfinity),CA,AT&T,1230209,3549079,34.663
Comcast (Xfinity),CA,Sonic,377463,3549079,10.636
Comcast (Xfinity),CA,Astound Broadband,170763,3549079,4.811
Comcast (Xfinity),CA,Consolidated (Fidium),139983,3549079,3.944
Comcast (Xfinity),CA,Frontier,114474,3549079,3.225
Comcast (Xfinity),CA,"Race Telecommunications, Inc.",50946,3549079,1.435
Comcast (Xfinity),CA,Sebastian Enterprises,4464,3549079,0.126
Comcast (Xfinity),CA,UnWired Broadband Holding LLC,4096,3549079,0.115
Comcast (Xfinity),CA,Charter (Spectrum),2422,3549079,0.068
Comcast (Xfinity),CA,Optimum (Altice USA),1001,3549079,0.028
Comcast (Xfinity),CA,"Ponderosa Communications, Inc.",982,3549079,0.028
Comcast (Xfinity),CA,Sail Internet Holdings LLC,812,3549079,0.023
Comcast (Xfinity),CA,"Tekify, LLC",639,3549079,0.018
Comcast (Xfinity),CA,Surfnet Communications,339,3549079,0.01
Comcast (Xfinity),CA,Cruzio Internet,120,3549079,0.003
Comcast (Xfinity),CA,Happy Cycling LLC,98,3549079,0.003
Comcast (Xfinity),CA,Los Altos Hills Community Fiber,59,3549079,0.002
Comcast (Xfinity),CA,Cox,38,3549079,0.001
Comcast (Xfinity),CA,Nevada County Fiber Inc.,22,3549079,0.001
Comcast (Xfinity),CA,"Etheric Communications, LLC.",15,3549079,0.0
Comcast (Xfinity),CA,Volcano Communications Company,13,3549079,0.0
Comcast (Xfinity),CA,Inyo Networks Inc.,9,3549079,0.0
Comcast (Xfinity),CA,"CalNeva Broadband, LLC",4,3549079,0.0
Comcast (Xfinity),CA,Google Fiber,3,3549079,0.0
Comcast (Xfinity),CA,"Starry, Inc.",3,3549079,0.0
Comcast (Xfinity),CA,ICS Advanced Technologies,2,3549079,0.0
Comcast (Xfinity),CA,"yondoo Broadband, LLC",2,3549079,0.0
Comcast (Xfinity),CA,"Cal.net, Inc.",1,3549079,0.0
Comcast (Xfinity),CA,"Consolidated Smart Broadband Systems, LLC",1,3549079,0.0
Comcast (Xfinity),CA,Hunter Communications & Technologies LLC,1,3549079,0.0
Comcast (Xfinity),CA,Om Networks,1,3549079,0.0
